,bd,bde,w,we,a,isanim,Item,Group,bd_f,bd_pasture_per_kg,kg_m2_tb,kg_m2_wwf,t_est,LQ,MQ,HQ
47,2.901641015524855e-11,6.425552814907983e-12,4643.0,1028.1713540715543,AFG,False,Sugar beet,Sugar beet,,,,,1.3472319235081901e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
20,3.113083708143001e-13,1.797915350811547e-14,891441.8333333334,51483.90171177388,LTU,False,Sugar beet,Sugar beet,,,,,2.7751330481071283e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
19,3.7154548578104714e-12,1.8511970614813464e-13,4147.333333333333,206.6377219874149,MKD,False,Sugar beet,Sugar beet,,,,,1.5409229780292627e-08,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
18,3.579261544000022e-11,1.038644519141592e-13,841.8333333333334,2.442865651768962,MEX,False,Sugar beet,Sugar beet,,,,,3.013141676457352e-08,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
17,1.1510164573753203e-12,1.0423778099033206e-13,635997.3333333334,57596.87476025196,MDA,False,Sugar beet,Sugar beet,,,,,7.320433975134841e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
16,5.500300003680449e-12,1.1575271097391358e-13,3811825.1666666665,80219.09650465498,MAR,False,Sugar beet,Sugar beet,,,,,2.0966181978245893e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
15,1.952534142963347e-13,1.2245271744996174e-14,6362016.833333333,398992.38254636293,NLD,False,Sugar beet,Sugar beet,,,,,1.2422055085190887e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
14,5.091203478271051e-13,3.036357809862564e-14,13488711.666666666,804457.2405879447,POL,False,Sugar beet,Sugar beet,,,,,6.867377575472864e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
13,6.180462559339032e-12,2.6523558189288815e-12,4252.833333333333,1825.1105204992484,PRT,False,Sugar beet,Sugar beet,,,,,2.628447718777568e-08,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
12,1.0276022226326396e-12,5.139919406554553e-14,983540.8333333334,49195.30635494084,ROU,False,Sugar beet,Sugar beet,,,,,1.010688746383292e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
11,7.543804559089097e-13,5.111873471640847e-14,45433343.0,3078678.6559026246,RUS,False,Sugar beet,Sugar beet,,,,,3.427402600580587e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
